sampleid	RT	m/z	Metabolite	HMDB (*Representative ID)	Pooled QC sample CV	Method	Intercept	diagnosis[T.UC]	diagnosis[T.nonIBD]
HILn_QI2	3.57	209.0682	1-3-7-trimethylurate	HMDB02123	0.10253319	HILIC-neg	9.17061200223894	4.0797085447951575	3.18013999391348
HILn_TF1	5.25	160.0615	2-aminoadipate	HMDB00510	0.072934455	HILIC-neg	2.929422045573899	2.5915289803191444	4.133505737073727
HILn_QI3	2.9	102.0561	2-aminobutyrate	HMDB00452	0.034887153	HILIC-neg	1.5142494686696022	1.4909894152327787	2.6482582442835056
HILn_QI5	3.47	117.0558	2-hydroxy-3-methylbutyrate	HMDB00407	0.038622699999999996	HILIC-neg	2.0321618565175026	2.6347191019698397	3.4905741565302097
HILn_QI6	3.44	131.0715	2-hydroxy-3-methylpentanoate	HMDB00317	0.046174997	HILIC-neg	2.797794009074876	2.3148221655532146	3.1909122752398336
HILn_QI7	6.71	147.03	2-hydroxyglutarate	HMDB59655*	0.10837343699999999	HILIC-neg	1.6117578991505592	1.8520376368209133	3.4042228810861785
HILn_QI9	6.61	161.0457	3-hydroxymethylglutarate	HMDB00355	0.037421357	HILIC-neg	2.336294318065354	1.4561850710555344	2.582550620324918
HILn_QI10	6.63	159.0664	3-methyladipate/pimelate	HMDB00555*	0.06619502599999999	HILIC-neg	1.4494468220326393	2.3763131781264573	4.25696978498251
HILn_QI11	6.68	143.0351	3-methylglutaconate	HMDB00522	0.051727064	HILIC-neg	-0.6594069949534447	1.9065513296767505	3.052397241480657
HILn_QI13	2.29	121.0296	4-hydroxybenzaldehyde	HMDB11718	0.100649785	HILIC-neg	2.433732176646897	2.7480958386107703	3.9990678780153464
HILn_QI14	1.14	132.0456	4-hydroxybenzeneacetonitrile	HMDB29757	0.166460302	HILIC-neg	-0.492192601337722	-1.0602751092270584	1.5907596104219641
HILn_QI16	1.33	123.0453	4-methylcatechol	HMDB00873	0.041860582	HILIC-neg	1.4087797649952858	1.6813604517623215	3.9330097787454803
HILn_QI17	3.8	138.0197	4-nitrophenol	HMDB01232	0.046917453	HILIC-neg	0.28806176267594985	2.6918164177581088	2.9756078176572998
HILn_QI18	3.53	182.0461	4-pyridoxate	HMDB00017	0.23813055100000002	HILIC-neg	3.3737088688466037	2.622346608225944	4.052455877549954
HILn_QI19	2.68	197.0682	5-acetylamino-6-amino-3-methyluracil	HMDB04400	0.121332466	HILIC-neg	2.4381701000782936	2.2512216253920805	3.7895790689066127
HILn_QI20	3.26	197.1549	5-dodecenoate	HMDB00529	0.225234961	HILIC-neg	0.6366430767628639	0.2889277620955735	0.7441155664995396
HILn_QI21	3.21	161.9868	acesulfame	HMDB33585	0.049595789	HILIC-neg	2.6518355854603737	1.4916128798171309	1.3610526077821934
HILn_QI22	3.67	130.0511	acetylalanine	HMDB00766	0.05150586099999999	HILIC-neg	0.5251223095509499	1.6364695711776047	3.350992088802167
HILn_QI23	2.11	134.0473	adenine	HMDB00034	0.047544117000000004	HILIC-neg	2.879727507457444	2.8029417677565838	4.452500199563809
HILn_QI24	6.64	145.0507	adipate	HMDB00448	0.056994794	HILIC-neg	2.11006989561052	1.7870537920638334	3.92674997974188
HILn_QI25	3.17	88.0404	alanine	HMDB00161	0.161371502	HILIC-neg	2.090045595988938	2.4992655201598435	3.9990242474153708
HILn_TF2	7.25	171.0064	alpha-glycerophosphate	HMDB00126	0.059021783	HILIC-neg	2.5701548107716534	2.3156879826232224	3.688412760980436
HILn_TF3	7.35	145.0142	alpha-ketoglutarate	HMDB62781	0.18675379	HILIC-neg	3.6982900150868394	2.3096675558730397	4.1226612083986485
HILn_QI28	3.29	115.0401	alpha-ketoisovalerate	HMDB00019	0.0862321	HILIC-neg	-1.589488362446119	1.6240245981856614	3.193692054264256
HILn_TF4	3.8	173.1044	arginine	HMDB00517	0.031310631	HILIC-neg	5.805036211833666	2.8883580847426678	4.466745948083706
HILn_QI30	8.82	175.0249	ascorbate	HMDB00044	0.18001566300000002	HILIC-neg	3.667407656535813	2.5410920067473666	4.354628896005459
HILn_QI31	3.75	131.0463	asparagine	HMDB00168	0.39525705299999997	HILIC-neg	0.4288116940113991	-0.7882099465683671	0.1305773012712681
HILn_QI32	5.06	132.0303	aspartate	HMDB00191	0.188645174	HILIC-neg	2.8003880032155006	2.7881482525512005	4.481272553689785
HILn_QI33	6.6	187.0978	azelate	HMDB00784	0.075463289	HILIC-neg	1.813015604839036	2.128817050044182	4.034813200719662
HILn_QI36	3.67	87.0451	butyrate	HMDB00039	0.056046015	HILIC-neg	3.88012137495012	2.6095359011336585	4.179000710733241
HILn_QI37	3.5	115.0765	caproate	HMDB00535	0.051358550999999995	HILIC-neg	2.3833281048390362	2.0946117325469285	4.312623476274319
HILn_QI38	3.4	143.1079	caprylate	HMDB00482	0.05606029	HILIC-neg	2.3227178104969948	1.594864575450064	4.4442069284990495
HILn_QI40	3.97	407.2809	cholate	HMDB00619	0.060730875999999996	HILIC-neg	5.209964657649705	1.870181052271965	3.3377984367683613
HILn_QI41	3.73	204.0669	cinnamoylglycine	HMDB11621	1.47391769	HILIC-neg	6.681202078685473	0.8816165609999906	5.0766014807298845
HILn_QI42	8.89	191.02	citrate	HMDB00094	0.532450684	HILIC-neg	0.9137226589772194	1.3209235354110032	1.869520878084012
HILn_TF5	3.57	174.0884	citrulline	HMDB00904	0.035865785	HILIC-neg	6.0622452744099595	3.0545271320983187	4.760548924691983
HILn_QI44	1.19	345.2079	corticosterone	HMDB01547	0.118821519	HILIC-neg	0.20638527952165295	0.8217186613723069	3.039596845991918
HILn_QI45	5.8	239.0169	cystine	HMDB00192	0.106932061	HILIC-neg	-0.4228080264475853	-1.5140114144638748	-2.1636266953870567
HILn_TF6	7.4	306.0497	dCMP	HMDB01202	0.208580405	HILIC-neg	1.5052143581959694	0.7679996176406156	1.9978524200990881
HILn_TF7	5.05	189.0881	diaminopimelate	HMDB01370	0.07986915	HILIC-neg	2.669405604228684	2.681037394587638	3.8970861785486415
HILn_QI47	3.96	157.0256	dihydroorotate	HMDB03349	0.7427180840000001	HILIC-neg	-1.6775611392405525	0.8763279600783616	1.2861029856279576
HILn_QI48	3.04	329.249	docosapentaenoate	HMDB01976	0.047957655999999994	HILIC-neg	3.5325390347096413	2.2739585323973923	2.8548570923879826
HILn_QI49	7.3	321.0498	dTMP	HMDB01227	1.137674295	HILIC-neg	2.005354548320481	-0.180029900486824	-2.529978299848727
HILn_QI50	3.08	301.2177	eicosapentaenoate	HMDB01999	0.071066808	HILIC-neg	2.846268797740647	2.2035903616591717	1.5936130039766514
HILn_TF8	1.05	289.2173	epiandrosterone	HMDB00365	0.164689531	HILIC-neg	2.932219649181077	2.8000532074614783	3.146330730654308
HILn_QI51	4.14	135.03	erythronate	HMDB00613	0.042449018	HILIC-neg	2.306282187328049	2.302948801104668	3.392707755453893
HILn_QI52	3.99	221.0668	ethyl glucuronide	HMDB10325	0.050698624000000005	HILIC-neg	1.5283695705983131	1.9115137739821704	4.365377163179226
HILn_QI53	2.0	179.0563	fructose/glucose/galactose	HMDB00122*	0.029460806000000003	HILIC-neg	3.504194880351731	2.0790970011397634	3.5872344725206577
HILn_QI54	1.52	163.0614	fucose	HMDB00174	0.044165277	HILIC-neg	2.088228369579026	1.9885389490767729	3.7905990831926535
HILn_QI55	6.87	115.0038	fumarate/maleate	HMDB00134*	0.038397014	HILIC-neg	0.12115826688737565	2.140283195559624	3.4501214974001133
HILn_QI56	1.91	170.1188	gabapentin	HMDB05015	0.07365408799999999	HILIC-neg	2.151604319438645	2.7387668772383953	-2.955402875654391
HILn_QI57	3.16	249.1498	gemfibrozil	HMDB15371	0.16583648	HILIC-neg	1.432572031840989	0.3845851107283842	1.2370520584657871
HILn_QI58	4.43	153.0195	gentisate	HMDB00152	0.076845909	HILIC-neg	1.7978626736256569	2.6469746514006878	3.9296209566667764
HILn_QI59	5.01	146.046	glutamate	HMDB03339	0.043598664	HILIC-neg	4.0254289158436745	2.3540200873061448	4.39454040456564
HILn_QI61	4.14	105.0193	glycerate	HMDB00139	0.056843702	HILIC-neg	1.0378099926564186	2.0913325234099656	4.259136413820095
HILn_QI63	3.78	464.3023	glycocholate	HMDB00138	0.041498877999999996	HILIC-neg	2.8563376911732643	1.3434869929000168	2.6229532115534036
HILn_QI65	2.63	150.0422	guanine	HMDB00132	0.057921847	HILIC-neg	0.4277159222218483	1.4833609743758451	3.7115936033800327
HILn_QI66	2.86	282.0847	guanosine	HMDB00133	0.07247600400000001	HILIC-neg	0.11429276548356705	2.1026870890303884	3.841936921365568
HILn_QI67	3.13	269.2484	heptadecanoate	HMDB02259	0.046654096	HILIC-neg	2.486527586803147	1.8275584860488203	3.8901410453394134
HILn_QI69	4.26	181.0508	homovanillate	HMDB00118	0.271790185	HILIC-neg	0.7013346203419655	1.8466720266982328	3.1131666578725063
HILn_QI71	3.62	149.0609	hydrocinnamate	HMDB00764	0.054664647000000004	HILIC-neg	3.007051611766526	1.8884026690169584	4.48004267144949
HILn_QI72	3.03	135.0314	hypoxanthine	HMDB00157	0.045833742999999996	HILIC-neg	1.4639717587086647	1.585003344599846	3.4182315521314823
HILn_QI73	4.39	155.0462	imidazolelactate	HMDB02320	0.258325878	HILIC-neg	0.5838533886525124	1.5029751940413725	2.448197757489988
HILn_QI74	4.36	188.0718	indole-3-propionate	HMDB02302	0.082137562	HILIC-neg	0.8851229199025124	1.6172451658889084	3.686533188112088
HILn_TF10	3.8	212.0023	indoxyl sulfate	HMDB00682	0.050655085	HILIC-neg	3.727456713542649	0.7540785952254545	4.056602930314846
HILn_QI76	3.17	267.0735	inosine	HMDB00195	0.06310215	HILIC-neg	1.579617644176194	2.123325078074576	3.7582926504686545
HILn_QI77	3.77	89.0244	lactate	HMDB00190	0.034180996	HILIC-neg	2.941249037608811	2.059318034236074	2.897565131671735
HILn_QI78	2.41	341.1095	lactose	HMDB00186	0.039108341	HILIC-neg	4.075406695232102	2.3089540882750783	3.710751270540067
HILn_QI79	2.5	130.0874	leucine	HMDB00687	0.051126479	HILIC-neg	5.0806657322499245	2.8857564612075115	4.2144506924226945
HILn_QI81	1.02	322.2758	linoleoyl ethanolamide	HMDB12252	0.049437382	HILIC-neg	2.3939177044484112	1.7812659426375657	3.3858634286001412
HILn_QI82	3.74	375.291	lithocholate	HMDB00761	0.047634964	HILIC-neg	4.92321219526262	2.8382208033248206	4.556985592134303
HILn_QI84	6.86	133.0143	malate	HMDB00156	0.07046105	HILIC-neg	1.570523405894944	1.808683125559929	2.666410421617337
HILn_QI85	7.02	103.0037	malonate	HMDB00691	0.04275766	HILIC-neg	0.04662003599137954	1.9213959856673508	3.0438737474754536
HILn_QI86	2.99	148.0439	methionine	HMDB00696	0.045985853	HILIC-neg	2.2430898197743385	2.127902714793328	3.865512286908933
HILn_TF12	3.1	187.1088	N6-acetyllysine	HMDB00206	0.039766571	HILIC-neg	4.8176442631337135	2.616444794718864	4.017621671445675
HILn_QI90	6.51	188.0567	N-acetylglutamate	HMDB01138	0.036583446	HILIC-neg	1.7537366398426983	2.0342826529189377	4.153745686300106
HILn_QI91	3.9	122.0248	nicotinate	HMDB01488	0.059980922	HILIC-neg	1.4898263462635963	2.1062562151595383	4.5657223217561915
HILn_QI92	2.6	168.0668	norepinephrine	HMDB00216	0.052033154000000005	HILIC-neg	0.3477350720021217	0.9063553496047271	2.5997565739229405
HILn_QI93	4.35	155.0099	orotate	HMDB00226	0.07829425799999999	HILIC-neg	1.2133981236073463	1.0791527910872727	2.8456995837763035
HILn_TF13	7.4	88.988	oxalate	HMDB02329	0.12160124300000001	HILIC-neg	5.15839924894304	2.6433344765349647	3.8540881626680568
HILn_QI95	3.81	218.1035	pantothenate	HMDB00210	0.068231428	HILIC-neg	3.573837424144456	2.287763087336661	4.548608040101834
HILn_TF14	7.25	229.0119	pentose monophosphate	HMDB00124*	0.112732939	HILIC-neg	2.4505435474965065	1.6450001879378586	2.9357977562025277
HILn_QI97	3.73	135.0453	phenylacetate	HMDB00209	0.040706757999999996	HILIC-neg	1.4611226566884008	1.923880307261589	3.615590667016813
HILn_QI98	3.66	263.1038	phenylacetylglutamine	HMDB06344	0.065903664	HILIC-neg	1.0269361981007543	1.5540313406630766	3.215811671353885
HILn_QI99	3.07	164.0719	phenylalanine	HMDB00779	0.040074423	HILIC-neg	4.073684836253831	2.3689475937529814	3.4655962936952798
HILn_QI101	2.92	114.0561	proline	HMDB00162	0.067020426	HILIC-neg	2.799961233958909	1.5326080008193266	2.967084472663709
HILn_QI28433	3.79	73.0295	propionate	HMDB00237	0.063305402	HILIC-neg	1.9855567463490456	2.098391263072136	3.8340983145311545
HILn_QI102	2.2	243.0622	pseudouridine	HMDB00767	0.034152697	HILIC-neg	1.411031390056321	1.6743061228438627	3.2154686466232025
