	Intercept	diagnosis[T.UC]	diagnosis[T.nonIBD]
HILn_QI2	9.259121257200814	4.411073139421216	2.242994954361116
HILn_TF1	2.8945921243577963	2.00387733291792	4.106676270736847
HILn_QI3	1.324713069334603	1.123752525560132	2.87909292198578
HILn_QI5	1.8364957155138022	2.201224735490552	3.705771376861726
HILn_QI6	2.529309588804818	2.0393614084641847	3.47491412378708
HILn_QI7	1.2611320794969565	1.7722801477830323	3.84099512316147
HILn_QI9	1.7268446267992026	1.6323582441728028	3.532137324585115
HILn_QI10	1.3409851373582846	1.8441991121690187	4.365376403106843
HILn_QI11	1.0155518831163413	0.2522277147691163	1.1465868256227125
HILn_QI13	2.2354334176927573	2.371228864900342	4.228710582031404
HILn_QI14	-1.4800192533582681	-0.24808270622087392	2.788486232532655
HILn_QI16	1.207948047056771	1.3207964212815675	4.193661978019868
HILn_QI17	0.28085740222034516	1.974564007035962	2.8937935731546034
HILn_QI18	3.0244634927659995	2.4946224005143556	4.524688412918245
HILn_QI19	1.9903152765184409	2.1881975443284425	4.468170096649324
HILn_QI20	0.3227160753160483	-0.14246899772478017	1.2183754942552198
HILn_QI21	1.6955407442003256	2.2443918497483644	2.8953072331086744
HILn_QI22	1.3154886545091635	0.22371142219709483	2.3226340613500227
HILn_QI23	2.6364272416978842	2.4859575540940675	4.777430464996492
HILn_QI24	1.6759646715074545	1.7533737928788575	4.520078828109895
HILn_QI25	1.8119781793504721	2.251825264207593	4.365885426773225
HILn_TF2	2.3583849252611166	1.9965590746323976	3.907369782699739
HILn_TF3	3.4556411088853842	1.989036253206006	4.431476762069856
HILn_QI28	-1.8835636793226218	1.377468517534009	3.5898609659806837
HILn_TF4	5.592482167616463	2.5791881592194947	4.731396844162141
HILn_QI30	3.3336237253099448	2.364437988511792	4.814849307312166
HILn_QI31	-0.4247814832777017	-0.5532785146315184	1.1346037886277784
HILn_QI32	2.542458373442269	2.45244591545271	4.857162167801056
HILn_QI33	2.7436474145799643	0.9876593859116944	2.781510998977815
HILn_QI36	3.4903925241380698	2.57399874042677	4.703201939834749
HILn_QI37	2.065419036284066	1.8971514017503175	4.699339082016145
HILn_QI38	2.1041215242296225	1.346181324235669	4.780085017456209
HILn_QI40	4.829971629515267	1.781096628419629	3.776574303878938
HILn_QI41	6.220661479368783	1.0238410742204103	5.6195177338258375
HILn_QI42	0.1501420320421225	2.1091410429398927	2.8782051108018507
HILn_TF5	5.96922929896412	2.5000564367692384	4.903488328231965
HILn_QI44	-0.3276573835462564	1.0759982378404054	3.781145860923921
HILn_QI45	0.9203971208482749	-0.4229264943678466	-3.3727968432768236
HILn_TF6	1.9746893228441245	0.6032282621781739	1.3273179433480848
HILn_TF7	2.2767694772630698	2.627525022737256	4.490439822448884
HILn_QI47	-0.3914820371717447	-0.7377987592299071	-0.011560986266935913
HILn_QI48	3.2252529443651206	2.02312724899458	3.220737030281221
HILn_QI49	0.19263299120960298	1.3209318430344972	-0.7221215464933763
HILn_QI50	2.1041305841356284	2.6564757139604005	2.643857260717546
HILn_TF8	2.3574169458299643	3.016414812318555	3.99157946325699
HILn_QI51	1.8582557023912436	2.2764663011948976	4.037985970749055
HILn_QI52	1.494777995482064	1.3283700258653077	4.351527144683992
HILn_QI53	2.9487913431077963	2.336523226014844	4.391375472320711
HILn_QI54	1.7996877015977866	1.7299429685990724	4.1831559441224675
HILn_QI55	1.7274978937059409	0.298414161912671	1.4928852222100844
HILn_QI56	2.0468843759447104	2.2310835630814942	-4.0811665751799
HILn_QI57	0.10322220934925141	1.4409629614274415	2.932483603729402
HILn_QI58	2.2500160516649252	1.4190024645249757	3.2200418017045607
HILn_QI59	3.7610104860216147	2.0940927774827394	4.730090071930086
HILn_QI61	1.2544282258897788	1.150326660386792	3.894410898460542
HILn_QI63	2.516224700346566	1.0532883913438233	2.9920684001580824
HILn_QI65	0.23925526751575532	1.198481014482251	3.9619812271730055
HILn_QI66	1.5743864358812338	0.5823985845963868	1.9889963767663588
HILn_QI67	1.9522417367845541	2.0047427923600587	4.630596568359529
HILn_QI69	-0.0004383741468423352	2.3675731928269776	4.110998084320221
HILn_QI71	2.705854255095101	1.6675812513749513	4.865881135238801
HILn_QI72	0.7813485444932944	2.022059133760205	4.436564614547883
HILn_QI73	-0.2135235487073892	2.1207773001115235	3.6222186586991896
HILn_QI74	1.0226043046861655	0.8601872236649903	3.5086839697496046
HILn_TF10	3.3831842721849448	0.4344784529130372	4.4203342697755446
HILn_QI76	1.2513716997056967	1.9654294760148439	4.186023046745454
HILn_QI77	2.6670468629747397	1.8537811548631105	3.1525377533570875
HILn_QI78	3.7521413148790366	2.086485794297925	4.123026659263765
HILn_QI79	4.764051276579476	2.7043177397172364	4.649449517501985
