	Intercept	diagnosis[T.UC]	diagnosis[T.nonIBD]
k__Archaea	-0.08023190030205107	-0.09645651168472913	-0.09670669728106152
k__Archaea|p__Euryarchaeota	-0.5357081247245059	-0.056594124802423984	-0.08144458339697014
k__Archaea|p__Euryarchaeota|c__Methanobacteria	-0.5357081247245059	-0.056594124802423984	-0.08144458339697014
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	-0.5357081247245059	-0.056594124802423984	-0.08144458339697014
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae	-0.5357081247245059	-0.056594124802423984	-0.08144458339697014
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter	-0.5357081247245059	-0.056594124802423984	-0.08144458339697014
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_smithii	-0.5467179668818698	-0.06669629439063218	-0.08591400602048527
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_smithii|t__Methanobrevibacter_smithii_unclassified	-0.5467179668818698	-0.06669629439063218	-0.08591400602048527
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_unclassified	-0.604435796824573	-0.10255027170576003	-0.10866069005018364
k__Bacteria	5.427955870541455	0.43180205040328357	0.3475766093176018
k__Bacteria|p__Actinobacteria	0.8473640727127805	0.40259720497481766	0.3917229384821068
k__Bacteria|p__Actinobacteria|c__Actinobacteria	0.8473824905480161	0.402585075429605	0.39168094700986256
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	-0.1762946350251422	-0.15862060970909742	0.4609359414022576
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae	-0.618118817893146	-0.11595527529068139	-0.11249724173134457
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae|g__Rothia	-0.618118817893146	-0.11595527529068139	-0.11249724173134457
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae|g__Rothia|s__Rothia_mucilaginosa	-0.6182593060408816	-0.11593506186552194	-0.11259423711484562
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae|g__Rothia|s__Rothia_mucilaginosa|t__Rothia_mucilaginosa_unclassified	-0.6182593060408816	-0.11593506186552194	-0.11259423711484562
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae	-0.19452419408905364	-0.15790417305476812	0.464698782626928
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacteriaceae_unclassified	-0.2195775015031085	-0.16128677762396482	0.4662262708585869
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium	-0.5903379870330081	-0.1123174864733949	-0.11044541516488682
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	-0.5903379870330081	-0.1123174864733949	-0.11044541516488682
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes|t__Propionibacterium_acnes_unclassified	-0.5903379870330081	-0.1123174864733949	-0.11044541516488682
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	0.5204049991692319	0.3296226125275368	-0.027933405275999412
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae	0.5204049991692319	0.3296226125275368	-0.027933405275999412
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium	0.5188857959831967	0.3302075129067177	-0.027488464053331718
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_adolescentis	-0.19313592740642882	0.1674693685089812	-0.00468010598009716
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_adolescentis|t__Bifidobacterium_adolescentis_unclassified	-0.19313592740642882	0.1674693685089812	-0.00468010598009716
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_animalis	-0.5996378017340884	-0.11805264725632814	-0.11490328007525097
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_animalis|t__Bifidobacterium_animalis_unclassified	-0.5996378017340884	-0.11805264725632814	-0.11490328007525097
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_bifidum	-0.4839803529654727	-0.03429522997982648	-0.09444098852722238
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_bifidum|t__Bifidobacterium_bifidum_unclassified	-0.4839803529654727	-0.03429522997982648	-0.09444098852722238
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_breve	-0.5765848709021792	-0.12110905981905606	-0.1165220826227058
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_breve|t__Bifidobacterium_breve_unclassified	-0.5765848709021792	-0.12110905981905606	-0.1165220826227058
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_catenulatum	-0.5471829427157626	-0.034837703027798206	-0.11885888458377014
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_catenulatum|t__GCF_000173455	-0.5471829427157626	-0.034837703027798206	-0.11885888458377014
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_dentium	-0.46069338449585295	-0.13025252036101964	-0.12701343515103947
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_dentium|t__Bifidobacterium_dentium_unclassified	-0.46069338449585295	-0.13025252036101964	-0.12701343515103947
