,"(2,3-dihydroxy-3-methylbutanoate)","(2,5-diaminohexanoate)",(3-hydroxypyridine),(3-methyladenine),(4-oxoproline),"(5,6-dihydrothymine)",(alanyl-leucine),(dehydroalanine),(glycero-3-phosphoethanolamine),(indoleacrylate),(leucyl-leucine),(lipoate),(N6-acetyl-lysine),(queuine),2-aminobutanoate,2-oxoglutarate,2'-deoxyguanosine,2'-deoxyuridine,"3',5'-cyclic-AMP",4-guanidinobutanoate,4-hydroxy-proline,7-methyladenine,adenine,adenosine,alanine,aminoadipic acid,arginine,asparagine,aspartate,betaine,biotin,carnitine,citrulline,creatinine,cytidine,cytosine,decanoate,disaccharide (maltose),ergothioneine,fumarate,glutamate,glutamine,guanine,guanosine,hypoxanthine,inosine,isoleucine,lactate,laurate,leucine,lysine,methionine,monosaccharide (glucose),myristate,N-acetyl-glutamate,N-acetylornithine,nicotinamide,nicotinate,oleate,palmitate,palmitoleate,pantothenate,phenylalanine,proline,pyridoxine,pyroglutamate,raffinose,salicylate,serine,stachyose,stearate,succinate,taurine,threonine,thymidine,thymine,tryptophan,tyrosine,uracil,urate,uridine,urocanate,valine,xanthine,xylitol
rplo 1 (Cyanobacteria),-4.534862981968001,-1.233015385221237,-0.033245235981802956,0.8880591064379386,2.883529773324983,0.6978646407634512,0.934065086869853,-0.2680589548519494,-1.679833988473309,1.047397962636519,1.7618054349909285,-4.223222925798506,4.38971762821357,-0.34294976364253404,-3.9564417579635496,-1.182912897667518,-3.7452895621200177,-1.5221625248705344,-0.9917146730026483,4.026928333271928,0.4079865775681766,0.2675619238208027,4.9126085995972515,5.036276848517605,-1.997060534353924,-2.5176844731987664,2.1989377296061674,0.722181400806245,2.2419959094755084,3.0138477942309576,-4.727271334910068,2.081411490313438,-3.616337333966751,-0.754448649562879,-2.7295903443744827,3.163511288430125,-1.287086875106188,1.3175159655824755,0.5555205101440093,-1.6371627579276797,0.06695407103981221,2.496147305869985,3.0130954100802,-3.0821448724055607,0.6453918932719658,-2.404492219998094,3.6255004585628994,0.7032712552786178,-1.4353250344936122,3.448332222458947,1.0033469774817645,1.4980809269201982,-2.1536988264569565,0.2112708807512389,-0.7629440464318096,1.205776347894246,1.4198111356956984,-3.117661291438097,-2.1821100614483875,2.480069229207859,-0.8608847449087067,2.062261028445554,-0.74100446636663,1.8765704162053565,-0.30873206293750766,-1.7722566211202668,-0.4187843241951912,-0.36080252656095,1.1424539710097532,-0.9787051786253018,3.05055140269383,0.8261626463117464,-0.3228462896078179,-2.860615637693538,-2.185035685838571,-0.531948630936605,1.572424184893502,-0.7991028846145882,1.736077154969844,-2.9919871931273114,0.09219860100305066,-1.101228290414256,-0.8635177907787623,0.7405859512486961,-2.2488758405360088
rplo 2 (Firmicutes),-3.5035162644754907,-0.7662472843601176,0.5828311079217929,1.2026798533135992,2.157721023162468,0.8100734191615846,0.8252176935904902,-1.2878347973961706,-1.2013377755470867,0.729854639058475,1.5030587910156772,-4.0035521640694585,4.719600875978061,-0.5384126754750138,-3.6292809786586533,-0.9791701640807684,-3.694018221201884,-1.8570866512122963,-0.4062455741973121,4.498541137843732,0.7313541518952196,1.1022037540745249,4.975302465007518,3.6756892624338082,-2.2295548243304895,-2.001065835085808,2.088182434320787,-0.022540309424767813,1.1577802082486972,3.8765051322451303,-5.547121245768619,2.3606986472458846,-4.0742391109238385,-0.5521060548723664,-3.5512564738155676,3.171360873677758,-1.254527105394983,0.5253432921309571,-0.8108655876216186,-1.2449306342698616,-0.6015362338127499,1.8664848593470982,3.0667427962883824,-4.1271832884640505,1.0173669864549186,-2.985363780818102,3.473553560397919,1.2480161078131449,-1.4113616227150612,3.0159716450831286,0.6757322083791895,1.3349051694041112,-1.660206724032503,0.06190155976973877,-0.5510476385250183,1.3151978643993392,1.2684612525223304,-2.383084909356268,-2.002236628009041,2.430494239504002,-0.826522201609988,2.897309712830479,-0.8089504684142081,1.6672119589883199,0.7006225072379397,-1.8072470809607468,-0.6072479718651049,0.2143920929918739,0.7384993783773997,-1.1992527323358342,3.017110407013421,1.0027893995175976,0.673868447656746,-3.2836405254424905,-1.5947143741497998,-0.06548733341928248,1.2655433144934012,-0.7776707076962577,2.0880259280711915,-3.192958834089393,-0.9370513860103653,-0.4676112341253269,-1.054525975272055,1.4962267786658732,-1.7306155542279784
rplo 60 (Firmicutes),-1.8518798699603378,-0.4139029183384748,1.0511218819689718,1.4368730789445197,1.5839611142094352,0.8870821504329358,0.7305636381623133,-2.089877001719013,-0.8398858583336262,0.4731362327639115,1.291999376246669,-3.8430930437732043,4.965646308288844,-0.7003286452547384,-3.385349699139577,-0.8310800705200547,-3.6643309026409936,-2.1273022469988048,0.03827691983808723,4.854647693961216,0.9723397903490438,1.7402231549158866,5.013860028495676,2.608987206309668,-2.4202277816184035,-1.6100096698043656,1.9920467836373534,-0.6109872158294349,0.30569676041732396,4.5362801805152255,-6.193909505782993,2.5674533152119254,-4.439953900631006,-0.4051032494107387,-4.19945513165221,3.1673287103295045,-1.239370394292517,-0.0999520067713986,-1.8820705203967902,-0.9504677264269032,-1.1307850848906567,1.3673880656031558,3.0982752501952766,-4.948843328994552,1.2960991491429947,-3.4465716554618195,3.345430269264218,1.6609138905906118,-1.4028804762303464,2.670091060693541,0.41119274741008827,1.1980620254246803,-1.2871096391642807,-0.06422009495231418,-0.39662574954327123,1.390042127064409,1.140801577746335,-1.8227720640712262,-1.8726824140339415,2.38186860253136,-0.8099655334944575,3.5356450592227495,-0.8718422493695446,1.4945053018221204,1.4743163639394554,-1.8445469946113446,-0.7637286118737832,0.6509358650264874,0.41467766917326365,-1.3806483642098994,2.981013741087556,1.129822380214411,1.4377467496762408,-3.6222714117804555,-1.1464238587155462,0.28661878222208337,1.0171049141886686,-0.7711552101531627,2.351206505447455,-3.3591526477600366,-1.7464508065051616,0.014300908399879297,-1.2129825939591212,2.0728973730203295,-1.3382845550352824
rplo 7 (Actinobacteria),-3.0568209526849968,-0.9320178656193452,0.36705088090137217,1.087869856153878,2.391394870739793,0.7630597514952537,0.8522450876475371,-0.9556989368992053,-1.371036597591095,0.8267831272103106,1.580293784294403,-4.086559395183225,4.599678821725396,-0.48237408075015686,-3.7482911630742235,-1.0568424248751516,-3.7206213636361793,-1.7543365970735705,-0.611774140265199,4.331147860399403,0.6136144722647625,0.8132167011933031,4.9448734359918145,4.1219773908723365,-2.161112854779854,-2.183533469757289,2.1158488654565897,0.21746828842520038,1.5114997029774369,3.57813450086636,-5.281949035893628,2.2577233638335397,-3.9302986401108866,-0.6293093499298923,-3.2854759355182024,3.159301513791311,-1.2748629512043497,0.7812452245573009,-0.362635292366031,-1.3857359641776217,-0.387060757920219,2.0679552432154704,3.0393438157888446,-3.7865859235871495,0.8833465928479196,-2.800235528239038,3.515016801584982,1.056127814300842,-1.4288181846597983,3.1513572878614915,0.7760340496207245,1.380129430525562,-1.8349283037381054,0.10250146133642168,-0.6314509097183478,1.2691177686314798,1.3097245281372576,-2.638555811259894,-2.0719140506041738,2.4376687986081773,-0.8474618725442244,2.6081863872923474,-0.7956226802527286,1.7279047595907624,0.3531167680778413,-1.8049574977775178,-0.5535537267503319,0.012304884596735732,0.8643706554009238,-1.1348122300618346,3.01888100911305,0.9341994274547911,0.33059632315497645,-3.1513817999840468,-1.8018681515423536,-0.23115515326206726,1.3589004960950515,-0.7942794520247762,1.9607131960960853,-3.1350751329809112,-0.6017422338106773,-0.6892665876284827,-0.9999794571509799,1.233700503074159,-1.9136330463154136
rplo 10 (Firmicutes),-2.541493539554267,-0.35268827300835426,1.1288570214514806,1.4812530912992656,1.513220828638623,0.9090659060675819,0.7280882138003903,-2.1931438345970946,-0.7773735337673031,0.4475692507902238,1.2729380645679669,-3.8092189528761082,5.011715069044527,-0.7123878081873158,-3.339582171077751,-0.7989683665509801,-3.649089685522881,-2.1547923609079476,0.11262546255029804,4.916398390735594,1.0176876120411578,1.8421418877860276,5.030365112532536,2.468010610718693,-2.4363843517243424,-1.5432792170922767,1.9893602558340433,-0.6838201617909192,0.19529985697613483,4.641298742455092,-6.275055154203869,2.6079237753936297,-4.481051110280248,-0.3731464664693078,-4.280801739027936,3.177765444814753,-1.2261995545119646,-0.17803525468832504,-2.023688703326684,-0.8975002558705114,-1.195183262207621,1.3072860704219806,3.113779369357644,-5.054905387303677,1.3468252420856288,-3.501275090419398,3.338186018319618,1.7307564217212246,-1.3906607968014555,2.6318199055857576,0.3845113912163072,1.1895753360087156,-1.2229380659207436,-0.07117914497351308,-0.3636118667917003,1.4117174808126833,1.1336233846594723,-1.731925262781644,-1.8432117741178047,2.385951485846988,-0.7965952224060686,3.63760880924103,-0.8697920616091892,1.4809086398768159,1.595566519773321,-1.8388503782866508,-0.7750133279284626,0.7241475684661225,0.37954954820267517,-1.3954830649896621,2.9868818008173434,1.1589337850292623,1.5575983471891703,-3.6595096017769606,-1.071538433692396,0.34779948071347633,0.9927176995994671,-0.759215604013292,2.399716748166014,-3.371821334490619,-1.8507659240935368,0.09397687332166527,-1.2245488551237997,2.166074889874537,-1.2713724590404496
rplo 100 (Proteobacteria),-1.6380315324120884,-1.1166849318553282,0.13009145714055936,0.9564894917699895,2.624405045885735,0.7025703091880535,0.8691763431322279,-0.6197324079571391,-1.5598112108499516,0.9168061422574718,1.6497243864351487,-4.184685342603333,4.462953058206546,-0.4351073958807028,-3.8840634340655447,-1.1493898849638828,-3.7597686335192853,-1.6582262881592493,-0.8380139616054478,4.144784029313881,0.47917069879524465,0.49970889455749035,4.901725645290787,4.577306717063058,-2.100876637712523,-2.3856597335811527,2.13344832714201,0.45710236624122746,1.8700350604075648,3.2548147982615325,-5.016002742172048,2.1387179137899173,-3.791117760258893,-0.7213664381392517,-3.0188935459620874,3.1353618836580854,-1.3074568510158135,1.037498095033813,0.09472485168041977,-1.5442982294397654,-0.17412527238175368,2.267292013717678,2.999364381470135,-3.4417716612628775,0.7318789652186215,-2.617986832628998,3.5470428346432104,0.84415088161649,-1.4584013744577646,3.28159285087832,0.8695843959084701,1.41608815688872,-2.0289549405896663,0.13362474726642848,-0.7268540383488578,1.2096045115130956,1.3415414681089093,-2.917017607809055,-2.1561017446696686,2.4338410279603018,-0.8806871593377705,2.2945360877756604,-0.7930163550597102,1.7800380935644124,-0.021580835410181187,-1.8138932211707095,-0.5087384003359867,-0.21033649682147182,0.9846575653509051,-1.0787601289639124,3.0094026155217537,0.8511488210683087,-0.039674420514985265,-3.0244158837714474,-2.0298073676763293,-0.41571476749261027,1.4451891907704022,-0.822976125207231,1.816259404195308,-3.0858791210543393,-0.2624575669029525,-0.9323693105441393,-0.9542729553628453,0.9478612872741072,-2.1163342660331876
rplo 101 (Proteobacteria),-1.2396769472512092,-0.7349769603911698,0.6322475879543061,1.2154589702746845,2.0440516893101544,0.798252426347875,0.7865306704201513,-1.43723137997375,-1.1686420771478483,0.6658037857079533,1.4461537837507477,-4.0023127800366725,4.734234918811995,-0.587626503362654,-3.6149778106414034,-0.9798665906808397,-3.713245236805048,-1.9232498779524834,-0.360548941340757,4.530400262188496,0.7451963132854642,1.178183559376964,4.957463684292466,3.4848721731210075,-2.283269255489313,-1.9637369331683745,2.049263534551744,-0.13850822718667377,1.0005519366193907,3.9558897982951207,-5.672219858699006,2.3691835013830937,-4.155348408925218,-0.5529726471538767,-3.676575820612837,3.146856601180434,-1.276028229141116,0.4036084283088739,-1.0023873982262304,-1.2227190296798343,-0.7082393785738192,1.7645006528208311,3.0478045530113063,-4.279650154317463,1.0371166557298492,-3.0814181939960408,3.4296284450366867,1.28876332519643,-1.4339075035988147,2.9379664931369716,0.6104573233305528,1.2896153562201134,-1.6256885023378205,0.01828970988457268,-0.5507531094773102,1.3030381221082363,1.2246086952931163,-2.3192665440526996,-2.0058340066046414,2.3990108794645577,-0.8478042255247944,2.9733389650918367,-0.8426665468236623,1.6163093379704518,0.7978360005157361,-1.8369579122394102,-0.6556111451791198,0.25884001847508653,0.6639465437433385,-1.2515152186032283,2.9875878896408805,0.9987974361019978,0.769545760641047,-3.3605110656788186,-1.5484280282911884,-0.03425429675104841,1.2027883208720196,-0.8005242218484172,2.1053417013858278,-3.2428421645876115,-1.0875994073873274,-0.41606294611005,-1.1031983985066747,1.562605208334669,-1.6930871348308516
rplo 102 (Actinobacteria),-1.513796543359767,-0.9196923343177081,0.3889433362005912,1.0904465474561187,2.3273060536938113,0.7526668981885303,0.8276880626210152,-1.0386236920909857,-1.3579595876404857,0.7888539127916454,1.5461319664615383,-4.0900666231138345,4.6032334576008305,-0.5124809941560704,-3.7449109693347875,-1.0613702410302528,-3.7349187825656625,-1.7933794862342918,-0.5918428438522119,4.34378381603694,0.6167516164378037,0.849113737577917,4.931307915190993,4.017215127037454,-2.193592553324825,-2.1680137658406036,2.0911695916304405,0.15216762367504888,1.4244459645636391,3.6158266305963673,-5.352063539255985,2.2580360557566417,-3.9772213208548717,-0.6339268799690592,-3.355706813065856,3.1422218463544676,-1.2903593138489589,0.7129041398712355,-0.467769095771863,-1.3781863247789294,-0.4474768962261271,2.010026999496355,3.025198641934659,-3.8711293778933875,0.8895982632462358,-2.8550374965042167,3.4876981762665276,1.0734497050909875,-1.4448653588424838,3.106071159194081,0.7374595074430852,1.3520913161701822,-1.8208904323361619,0.07534799424707561,-0.6354562792828835,1.2585463215502353,1.2824441565476912,-2.6090704673440737,-2.0779712918983844,2.4169096521756694,-0.8628427224914423,2.644109492850853,-0.8175589490950221,1.6969074892702531,0.40020852131251505,-1.8247821406226787,-0.5832121623835667,0.03157784386690654,0.8209046398872113,-1.1665264416146135,2.9991556481665578,0.927934155161048,0.37687817923771494,-3.1960697444433706,-1.7816259496433045,-0.2188492803812414,1.3216544782441213,-0.8104888150527279,1.9656816802598849,-3.1655350181439896,-0.6852740447030135,-0.6662502113799951,-1.0298009339526208,1.2645355510884793,-1.8980081538090499
rplo 103 (Actinobacteria),-1.7489746625821878,-0.8678672748493197,0.45604852285228237,1.126700926618267,2.2570834245136924,0.7682065427939309,0.8206049347052415,-1.1389307591277626,-1.3049342793424072,0.7604129529663881,1.523708227949581,-4.063529375568325,4.641049793088794,-0.528428308754175,-3.707373249839267,-1.0364630595201758,-3.725615443310491,-1.823599188286809,-0.5278699865903915,4.39610467993887,0.6539011413279043,0.9385868013223702,4.941780229604118,3.882029565145129,-2.2133296397150586,-2.1110870285690195,2.0838912100253113,0.08000945209371668,1.3175441562300678,3.7081667866925985,-5.431910291435744,2.2906744138795405,-4.020026491089285,-0.609162987938336,-3.435739436101559,3.147081425937384,-1.2829709069646666,0.63588986163293,-0.6035480743046007,-1.3339892380747385,-0.511833585814176,1.9496439325392005,3.0347451444170277,-3.9740218034369006,0.9317222560896683,-2.910427329841215,3.476204267654592,1.1332548643759113,-1.4383566987146166,3.065879861911779,0.7079878411718967,1.3394482519891229,-1.766330452581971,0.06411787353047504,-0.6097146550248196,1.273800719237241,1.271011346136473,-2.5298380490158676,-2.05550688203036,2.4158924309147354,-0.8552698207049358,2.7336241938334327,-0.8204562501116213,1.6795381118547796,0.5075615951096468,-1.8243067887565045,-0.5984431759629585,0.09449921631769787,0.7836203961660688,-1.1850409052892443,2.999789571381169,0.950066301478981,0.48293769917259244,-3.235305632151923,-1.7171565194631482,-0.16705561900593846,1.294304708277676,-0.8042392001711702,2.005756190023047,-3.1820460931882932,-0.7865506907093929,-0.5973499174343457,-1.0452923540942463,1.3459236936902501,-1.8409134111232985
rplo 104 (Bacteroidetes),-1.266793721816093,-1.3394308201461316,-0.16070202407059586,0.803085128079176,2.945178942109472,0.6414156897343846,0.908768608621557,-0.16498229831912337,-1.7879022145829309,1.0515120827838773,1.7576335980124291,-4.294816020894124,4.302592772817999,-0.35603989830113303,-4.043182947868398,-1.2522613259013653,-3.793150868443127,-1.515599004731782,-1.114858116828839,3.9198301555883366,0.3217799473362284,0.10930366426587046,4.863137567200319,5.187382603190578,-2.0049319999705615,-2.631125124805286,2.1739101235855047,0.7864958897637315,2.3541537915103063,2.8516414325428703,-4.652369359489945,2.001416919182259,-3.592443115099413,-0.823599762388052,-2.6544324172678406,3.1217692189116417,-1.3323112421016772,1.388517509820666,0.7074434235326459,-1.7330741658290654,0.12052560374744292,2.54424699949449,2.9648992581580633,-2.9755080726394416,0.5523352194668911,-2.363268411028943,3.6062778037352534,0.5858669001367263,-1.47933795462255,3.4686270325483908,1.008880422093963,1.4804407057909197,-2.2638803572342203,0.19168497932233652,-0.8334415360801861,1.1497201934091388,1.4005043461744373,-3.2618177680533593,-2.2480946943287945,2.4464197521492395,-0.9063631688467764,1.9039454327296275,-0.7720649975584584,1.8654385195641874,-0.49161181952445254,-1.8079614317447463,-0.43286083432865397,-0.4824980332731421,1.1587456507644198,-0.9882602451725182,3.0146282329088483,0.7606355537788199,-0.5039447702063047,-2.8416364652304216,-2.3088629306581057,-0.6383208294173688,1.57503569247012,-0.8427590889618015,1.6458427022613655,-3.0043010068491816,0.1966104069934005,-1.2311570138532044,-0.8772357105434123,0.5934609551165542,-2.3625478423931208
