	(2,3-dihydroxy-3-methylbutanoate)	(2,5-diaminohexanoate)	(3-hydroxypyridine)	(3-methyladenine)	(4-oxoproline)	(5,6-dihydrothymine)	(alanyl-leucine)	(dehydroalanine)	(glycero-3-phosphoethanolamine)	(indoleacrylate)	(leucyl-leucine)	(lipoate)	(N6-acetyl-lysine)	(queuine)	2-aminobutanoate	2-oxoglutarate	2'-deoxyguanosine	2'-deoxyuridine	3',5'-cyclic-AMP	4-guanidinobutanoate	4-hydroxy-proline	7-methyladenine	adenine	adenosine	alanine	aminoadipic acid	arginine	asparagine	aspartate	betaine	biotin	carnitine	citrulline	creatinine	cytidine	cytosine	decanoate	disaccharide (maltose)	ergothioneine	fumarate	glutamate	glutamine	guanine	guanosine	hypoxanthine	inosine	isoleucine	lactate	laurate	leucine	lysine	methionine	monosaccharide (glucose)	myristate	N-acetyl-glutamate	N-acetylornithine	nicotinamide	nicotinate	oleate	palmitate	palmitoleate	pantothenate	phenylalanine	proline	pyridoxine	pyroglutamate	raffinose	salicylate	serine	stachyose	stearate	succinate	taurine	threonine	thymidine	thymine	tryptophan	tyrosine	uracil	urate	uridine	urocanate	valine	xanthine	xylitol
rplo 1 (Cyanobacteria)	-0.6307137129132818	-0.5317176545272378	-0.49405721807591907	-0.21041234833480665	0.5116719096545818	-0.07770066084757034	0.08472752159607412	0.7256026516682436	-0.04663422988110631	0.15710132700224327	0.13769121895577918	-0.24763465200642135	-0.39871812586305255	0.7968786955912717	-0.4198342357307355	0.012960037445807045	-0.0014917533386637517	0.11205581817076586	-0.4990946527406396	-0.47306442222286327	-0.24486495105084966	-0.6466902935471152	0.24747525297011075	0.7836113421958527	-0.00595406430360957	-0.2961888085013627	0.1997477037008537	0.4185012070782755	0.7166666836634226	-0.33612454535411107	0.4456838867979008	-0.17334192537830884	0.23042951225988728	-0.23690037799106228	0.41914819478742626	0.04892255381611621	0.5896357640685188	0.230067751504831	0.7614341750749745	-0.20055417800547032	0.4365729354822726	0.4472615992538239	0.015306292342788963	0.5571753114141746	-0.36777693985426535	0.2316526274158341	0.4059011715828846	-0.5079239858806243	0.6709693029909315	0.28114067596639386	0.6150348400370117	0.05518586101052107	-0.5103059279929036	0.8064029410952491	-0.05823596991759455	-0.09658644017014298	0.3093717150780642	-0.6263785514683246	-0.2113679813655808	0.7946620336378766	-0.03332450356824489	-0.6570952765348703	-0.017195177665792358	0.38092162262347756	-0.573611654722487	0.08531500347460694	0.09123178036064186	-0.6637110768791004	0.36809465362433286	0.2169571868023041	0.8109241387733808	-0.07542665814385263	-0.5483133832627318	0.14921369891983602	-0.06442854989892419	-0.4424909038277849	0.15570418094926358	-0.05912657527386805	-0.232659162170784	0.2572903955246168	0.5282340852969	-0.6595900574243649	-0.02926827923312766	-0.6735349641468353	-0.549671151784253
rplo 2 (Firmicutes)	-0.026551945286979968	-0.3408134639824926	-0.24222336697118718	0.4900516450483345	0.1465564330860625	0.19848005836476845	0.40801584516469414	-0.2051421253865529	0.048630561730533116	0.48239730863055413	0.38599036844146917	0.3054414180930104	-0.010303961372715137	-0.31177521998041224	0.106268039291835	0.7157919604123469	0.5182885240511665	0.16997198442661837	0.1837457038043776	0.2718785367356661	0.3206178013800818	-0.27233636302284314	0.13500457509694497	-0.38912694501819894	-0.016668285882700105	0.46232743877314	0.5156906711652658	0.031796029345655126	-0.21360638766854562	-0.17035044796318236	0.016307661764970664	-0.07300982052420002	-0.0673036022647634	-0.209642337004519	-0.019860345554377015	0.16817824075858726	-0.47029065520201163	0.15110063898816553	-0.3428725807654774	0.6683611909159726	0.08117460491825731	0.0298239981313948	0.4029612417749963	-0.15192746445349767	0.324389140356813	0.07980755446512504	0.0875225725909514	0.09751403015958769	-0.4375214314807565	-0.05182603020744646	-0.03827228636737254	0.0587825225799743	0.27849139582064175	-0.3569487660771483	0.6786591449948903	0.21140609302938448	0.44320719307864836	-0.1645561221178266	0.4084411383121926	-0.3721711564095021	0.4155359509696101	-0.161283399170406	0.37900863340831414	0.09077132013938972	-0.14756056581899457	0.53404383912528	0.5498081511646331	-0.10810335065594671	0.1142872012410202	0.37292297513616035	-0.3247016171911373	0.7072446671349175	-0.21489958737627002	0.08624725211820689	-0.038049259944918715	0.3303016122897521	0.4866261024758212	0.4812181968736271	0.4819564402141591	-0.2719844152331694	-0.09393263965590481	0.15346244284625504	-0.0459245644910668	0.04290905920261745	0.49171180108656476
rplo 60 (Firmicutes)	0.4030268868275816	0.13309931615119464	-0.04522168454512878	0.18839906756252578	-0.3337472976745176	-0.08584658473546285	-0.21835282325871005	-0.3165829268319798	0.21370148872425257	-0.21397040792920113	-0.20358025352105685	0.10455516625207473	0.2601050197148694	-0.4055656672526613	0.16037235292362906	-0.03105370291109004	-0.13684698578299775	-0.06581650264819816	0.4442700780349789	0.4696681073017772	0.18551595391003892	0.24689381877104155	-0.04491028055198463	-0.28343810511966405	-0.0076573563527207004	0.2643622028923606	-0.19136515129297751	-0.32592031354706824	-0.31665544321544525	0.5813817580047306	-0.2617976034720986	0.09985017974519482	-0.13047535959307666	-0.0722283374235719	-0.2401729966496398	0.1819405516306175	-0.20277545451729004	-0.23411419843639214	-0.25381748766286183	0.3692049710691976	-0.27367558961191507	-0.28510644380866684	-0.16031226903305712	-0.2668499258983132	0.07752510879929878	-0.1568803871354894	-0.13446097445967636	0.31047038742564576	-0.23798982383440498	-0.045056594564266646	-0.2834963999174346	-0.098192733195066	0.4442781102267687	-0.3395307323312443	0.07332466880036749	-0.032038745088242226	-0.3125170755445202	0.37593874595568	0.029106190933445936	-0.34103351023096706	-0.02715627196353206	0.41515449400915827	-0.11574839281954052	-0.07859305211716865	0.6972940433520116	-0.07162860571401575	-0.14434309851262217	0.29085615759964356	-0.16073298922729995	-0.08207094438492998	-0.34574760209515226	0.08999603606138698	0.6733128957662615	-0.11671061047258603	0.3848785154624864	0.2793400911735964	-0.2109494479401647	-0.11110218308989135	0.250639009048044	-0.0396058132855803	-0.26706502913681207	0.21701589640050517	0.031240986313516184	0.41827746540962396	0.5139313365303844
rplo 7 (Actinobacteria)	-0.5162453175910905	-0.5165565700509447	-0.3413307106948413	0.2502131006099846	0.008082931324499873	-0.11023932634241512	0.18143821165764698	-0.1483476394755266	0.4517377330969307	0.13246133153545375	0.1997284952945118	-0.13824960589580282	-0.359514789505738	-0.048826569283048904	-0.2174026197183253	0.2529581741397363	0.002544669046340195	0.01967477036265433	-0.0731631296651645	-0.16484404442498402	0.09571766210116257	-0.4576108361379888	0.15288446296310856	-0.28373659079802294	-0.18702412155943543	0.004285626208162904	0.08805530525368192	-0.09035249777226165	-0.15106849333261418	-0.09763809437612506	-0.12164876605930616	-0.3032852170898265	-0.2589016186018124	-0.5212101502771808	-0.1383221785003304	-0.06816159730755184	-0.09093841580185891	-0.1720460617816626	-0.2140908817887064	0.16544043653756443	-0.1023172060689803	-0.10744695232659408	0.20927769521010842	-0.20796413089648674	-0.10097369994918678	-0.13220431456629023	0.317372537965655	-0.36392580490551607	-0.15483364769876085	0.038319419933316466	-0.28605351097732373	0.047331960131227466	-0.24661853536963518	-0.1502992746124328	0.016126985501775076	-0.07349503143619426	0.1415400159207133	-0.4801508236333063	-0.24066200802576243	-0.16907753761937763	0.08647099376826715	-0.4118980786677636	0.05314953297229237	-0.177302503804285	-0.2583869297076009	-0.0567917573698974	-0.05130508273566503	-0.09793674620187609	0.052145183992739125	-0.11156846882903579	-0.15821544851219738	0.13299448544475662	-0.3459309151365288	-0.06352624283896244	0.09355090619908595	-0.07022686716074723	0.1358483129902235	0.00680502491869614	0.22910495516774398	-0.17704890179271207	-0.19767442953122352	-0.2694412711243827	-0.15785364292889575	-0.417300696825617	-0.09578422184150817
rplo 10 (Firmicutes)	0.08331363262731169	0.004351814753506128	-0.10367519798466139	0.029042151592633805	-0.41856651054029503	-0.2858679115374481	-0.2822051859548428	-0.38967307411712065	0.47436211083025664	-0.289568659539346	-0.2787558782627834	-0.1430354545630046	0.038136782080694626	-0.2611132817503053	-0.13381134011520504	-0.03531979157964758	-0.21202676953794927	-0.24121277863326396	0.4350786487840109	-0.0003469591239124055	-0.05872372906665278	0.18558709692195274	-0.06961797172516991	-0.2803008720082654	-0.28172096376420264	0.09884408923022386	-0.24105785676972502	-0.3797285638730082	-0.39045076001861184	0.7167164147696463	-0.28271518439876836	0.044148554782591616	-0.361156642445923	-0.05233124409405936	-0.3143924018547054	-0.19082096315778452	0.05113933833404733	-0.18448736255118636	-0.27971087603050404	0.1605819496115376	-0.3833032059261647	-0.4000574023936404	-0.26976845035573804	-0.32566595932336107	-0.1688800385118029	-0.30045574387983803	0.05506062577263457	-0.10526315844863723	-0.10727613125741496	-0.27803818509583844	-0.29689591043836133	-0.3097187647223403	0.08210877649599521	-0.2801904393692804	-0.031265858503262155	-0.23736399206096137	-0.3272769723692303	0.13192280869815565	-0.20409451789546404	-0.28601339120660607	-0.25297482940841753	0.2918230072167721	-0.24409520680161534	-0.2920551423856304	0.3866133535463953	-0.18096752123503407	-0.1313065639212222	0.26521977930639157	-0.33425948653150966	-0.22511524612728612	-0.3020976900909261	-0.09019829101917812	0.5005341680625096	-0.3431245944321994	0.5774169811078249	0.06825689697219645	-0.28762763869811725	-0.2383906354130352	0.14898794289345957	-0.10183383614623787	-0.3229235740193887	0.1139822935578983	-0.27788272060003266	0.13931747461871272	0.3738072924691005
rplo 100 (Proteobacteria)	0.2556817218977354	0.43894651098755233	0.6388266563011245	-0.37228412874443645	-0.10895357345620657	-0.21020513870608465	-0.14952992850736238	0.14234587617020814	-0.2464493261649451	-0.2824635983295211	-0.20719627441470145	-0.4067890322641453	0.23314609368514821	0.11305903778650409	0.07347602560868614	-0.34356096525402824	-0.23259234049099994	-0.28218187677756607	-0.04265320096555686	-0.0039555791927646106	-0.3644706110429671	0.4390386715817288	-0.14979263270818993	0.3205065870446189	-0.36407227932858527	-0.16168506153119533	-0.25076914097616754	-0.12585609244063548	0.14017996184679998	0.07997473744833519	-0.132919917279296	0.2266172384292559	-0.23114347905205934	0.44128848558527745	-0.14936389234243946	-0.24008102225952632	0.12954142482972425	-0.252209655922725	0.20717766913468869	-0.45541422648029445	-0.23803532567521357	-0.2568535683907104	-0.26131715239193226	-0.06262601352733606	-0.11100358087794195	-0.28714575848550555	-0.05819397851825766	-0.13021150799757725	0.1664379642390948	-0.12459837423095618	0.11990682129093301	0.02762136578375588	0.01735823248854812	0.1712061237574995	-0.4423152848007498	-0.08112608481211987	-0.11254881250931333	0.24634321578821125	0.10428509806384333	0.19289516703954526	-0.34490102325957533	0.36825511870397026	-0.2229827865849064	-0.1909164327051783	0.033299128599933114	-0.39853914644348243	-0.3978385222675067	0.20536039767743794	-0.19515991454580445	-0.4001078949183055	0.15266514611043364	-0.45225566071076373	0.17349546364963264	-0.3221156736807874	0.09257856519960195	-0.07754436694035965	-0.2839018319922084	-0.308205648474384	-0.22215756686707266	0.3853248083943557	-0.1005340610455745	0.09930804834376546	-0.38280376768327895	0.24606504153010988	-0.18613169069246976
rplo 101 (Proteobacteria)	-0.160018215407838	0.14370250730073555	-0.00559388419780809	-0.2599023011047265	-0.21619425904782424	-0.3202736496060502	-0.1720081546269358	-0.20518962825402495	0.23112256539888312	-0.16216332357148724	-0.17213626046686473	-0.16773038937609122	-0.3365549338830296	0.051355200459137856	-0.26996687128887004	-0.16026500089015885	-0.24698980616603536	-0.11985223358153019	-0.11387434547064468	-0.2093314885977374	-0.24003346986098262	0.09416696717916538	-0.3238957176713768	-0.14615492093729326	-0.13057963414594573	-0.2036055898619374	-0.17419219867043617	-0.171555490992383	-0.203809218916682	-0.03656550784454299	-0.10958787177618688	-0.2449543630334851	-0.1972903568522846	-0.012352288293347682	-0.12473350310022903	-0.24212439775153435	0.25635639049525927	-0.08365045549470773	-0.1554535959451476	-0.23043860752792045	-0.18618964541867028	-0.2125159377463201	-0.2385998666928638	-0.1450723928212007	-0.2640569576048224	-0.1403731088615077	-0.07316443292348994	-0.23653938807362246	0.033589085840623666	-0.16294106102927522	-0.25455570337633504	-0.18266556204613302	-0.343659940020411	-0.050154411785198236	-0.21207299968975046	-0.25050590558942876	-0.19568092487800262	-0.12328907126201111	-0.23812707376464465	-0.035692721198606676	-0.21952200309574632	-0.164248831225055	-0.12940227790698433	-0.242495380213674	0.10059185185081	-0.20892175666560878	-0.1331379183594224	0.13451488390001998	-0.2010509792319032	-0.20683605329633806	-0.06702741612376172	-0.2584288411276603	0.061421815325100014	-0.16442687361323363	-0.07012655527774345	-0.25352956636430335	-0.16411738934183978	-0.1448241116393891	-0.30974819763659994	-0.1486441834340738	-0.1390157481240624	-0.12558326149533888	-0.1289118514834958	-0.23689457376273476	-0.29260235416886493
rplo 102 (Actinobacteria)	-0.24248974754874522	-0.28540281101691944	0.16891355584331438	0.25457804992129224	-0.15931264137316067	-0.09633138291031527	-0.018496837567988013	-0.17653966138844296	0.32456920346191703	-0.10387233601762687	0.0030086567728762467	0.04661955704105014	0.051521467059639836	-0.09264717583696852	0.021245849215601038	0.10906020456557737	-0.00043439093947115863	0.0480050976329868	0.08002338515842344	-0.13133187063926527	0.3217438160206807	-0.18739069191237698	0.3248881453227537	-0.2564855425969071	-0.13497688173232267	0.044071076243601986	-0.20909937639998308	-0.19832225022434777	-0.16902423144007975	-0.13755817625899153	-0.2768247507025093	-0.12073983786335893	-0.22971831594427744	-0.13057889038790688	-0.2406484042703794	-0.2432095624474556	-0.17520669562813965	-0.25942757130041205	-0.32628873602996217	0.18190180624148844	-0.21954452395048715	-0.1932956145429248	0.398948459506223	-0.3185484465171678	0.1817272050504116	-0.10621138635411584	0.46698818911763723	-0.11121225823027388	-0.12666085280237943	0.1448136217193991	-0.18622550179992053	0.24793223659627753	-0.056143190315143775	-0.06169736513312106	-0.0745653293903643	0.14723175759285606	-0.08377141305904823	-0.23553760521190592	0.0716947392688363	-0.07428451175862771	0.12764287452078174	-0.003218386939055254	0.014662049664955244	-0.16511810316909223	-0.3385777985386425	-0.1341118657215767	-0.18426426615250321	-0.014933792880006912	0.02849242972007294	-0.21627163018510837	-0.06463625501782867	0.10543868324768192	-0.31348264636438056	-0.009354494944237745	-0.0136867193045557	0.2645033588165042	-0.09790954358538477	-0.10803918094704526	0.4402840175776677	-0.35099915857220837	-0.31006243497188457	0.06851396863804177	-0.027362564556343297	-0.12018259562985872	-0.10374627682542316
rplo 103 (Actinobacteria)	-0.3979166775461325	-0.2942710604979892	-0.16890545925434408	0.17156891796625695	-0.20094106477794565	-0.12329376543915635	-0.07113780367437963	-0.2575653042917678	0.5690024998869392	-0.10417500511107665	-0.05320402153332881	-0.12963214306447482	-0.14773233505064423	-0.0877448105334439	-0.15010222461292916	0.12085116281198625	-0.10797968782480785	0.13937254586448475	0.09259525055932032	-0.2593368952671639	0.20431263702958713	-0.24952442041164483	0.28644996645754084	-0.35172465957460214	-0.11846221579652562	-0.07650113237867796	-0.19938264449361842	-0.25059666648306844	-0.2564856868168317	-0.0408478433626244	-0.15850102511279798	-0.20322532491361311	-0.30470702289888074	-0.2585235874031079	-0.14446423326734262	-0.27772679222114083	-0.05238987115058679	-0.25637313009886376	-0.32188142994459235	0.10498960940261803	-0.143553615143364	-0.23935676731859742	0.2912901510567076	-0.2353606653874234	-0.0749325687672774	-0.022975501392966887	0.6265240064950258	-0.2548944940483878	-0.101172307193194	0.15681065624350704	-0.30503914980722346	0.08102979335711441	-0.149393718250082	-0.12912831762960575	-0.12009814186031142	-0.08287741102945043	-0.11370172735887935	-0.2199648373213876	-0.38774405110684124	-0.15586166829494524	-0.019185867570548618	-0.12056625569643681	0.0023343600031238317	-0.2570871275176621	-0.18942873632257912	-0.22437988101176903	-0.24901755195400782	0.1229574533436547	0.03746232977464943	-0.2831987549157883	-0.14778034195746276	0.0013257973133261741	-0.2173299822856648	0.020626262231026295	0.03851787521926851	-0.07494749870298022	-0.10196162893720315	-0.1733641093505269	0.18854546262821703	-0.30370018672689253	-0.20311689417083562	-0.032667002399071506	-0.0009509053013456378	-0.2844998839675015	-0.1554619289696007
rplo 104 (Bacteroidetes)	0.3005701049945699	0.5544570692903052	0.39530723282967795	-0.3271020124153595	-0.20518119584481573	-0.38363121436215564	-0.24876316471457066	-0.044016771096887966	-0.14201563135394807	-0.274545079327823	-0.29476354937855054	-0.19641606967976383	0.24055383353085505	-0.054902718482613175	-0.04093105700057781	-0.22372291376214198	-0.191283582991956	-0.1923457636680924	0.08053780921493606	-0.07005978754273484	-0.30512748534464856	0.5248084423871046	-0.041062948923338005	0.09813273922828693	-0.1561956916633911	-0.20654853364307033	-0.2270427466207339	-0.1981373071755575	-0.04984925599550681	0.039902280154388944	-0.14991607242240307	0.2903455582170644	-0.1902957006252903	0.5455834150204445	-0.14831886452734228	-0.23894056744279013	0.08940373264913765	-0.2235944689992735	0.07384070572869604	-0.1959821559539554	-0.1949503217374754	-0.2007590197513187	-0.12015878764187496	-0.09655797250340858	-0.05308261048356912	-0.2301974705636024	0.0649426912253573	-0.04472862827490556	0.12180413016030714	-0.12575540709659827	-0.19736851564484764	-0.2376300358448924	0.13277298503791893	0.010182180535412422	-0.22778788080381157	-0.21869661311412128	-0.10215147041887954	0.4621487173338076	-0.17151943031505096	0.01637415864356509	-0.31767758108911	0.4533749331927112	-0.2573113565326144	-0.0850238391863349	0.18089895463495037	-0.24506845420168166	-0.2808252520278104	0.42131577596349473	-0.19010632451583315	-0.25831977606486123	-0.009555373017224783	-0.2775163809804432	0.33538809653122303	-0.23928190962212326	-0.24673324685958148	-0.08831603799838156	-0.27722417388242143	-0.26976628243536893	-0.18034883713928468	0.3937864385223109	-0.12527659885317852	0.2602536825964793	-0.15600102445154468	0.263354460463398	-0.09018410703751532
